run_id,seabed_id,youngs_modulus,EA,EI,submerged_weight,residual_lay_tension,elem_length,cable_node_no,cable_x,cable_z,cable_y,seabed_gap,seabed_pen,seabed_node_no,seabed_x,seabed_z,seabed_y
5.0,11094979.0,55032698.94947852,6915612.90907602,69156.1290907602,128.57550279100306,7899.950151075689,2.0,1.0,0.0,-0.1024524260760657,0.0,0.0,0.002454469446092844,2000001,-1.0,-0.1,-1.0
,,,,,,,,2.0,2.0223170350290838,-0.12898528771392082,0.0,-0.07953673601150513,0.0,2000002,0.00995024875621886,-0.1,-1.0
,,,,,,,,3.0,4.04480671351048,-0.12808172077883612,0.0,0.0,0.0001460911735193804,2000003,1.0199004975124377,-0.18342968317000002,-1.0
,,,,,,,,4.0,6.06679920620635,-0.08319380220542857,0.0,-0.010034985840320587,0.0,2000004,2.0298507462686564,-0.208706595,-1.0
,,,,,,,,5.0,8.086929874473297,0.014529790299546456,0.0,-0.1862155646085739,0.0,2000005,3.0398009950248754,-0.17870723598,-1.0
,,,,,,,,6.0,10.103570827378405,0.16833522035423898,0.0,-0.35834914445877075,0.0,2000006,4.0497512437810945,-0.12768565542000002,-1.0
,,,,,,,,7.0,12.115397159074439,0.3758935857658982,0.0,-0.336719810962677,0.0,2000007,5.059701492537314,-0.09228869646400001,-1.0
,,,,,,,,8.0,14.122094131737878,0.6283430948830642,0.0,-0.13035443425178528,0.0,2000008,6.069651741293533,-0.093230093094,-1.0
,,,,,,,,9.0,16.12547147850412,0.905987338594555,0.0,0.0,0.0012020861031487584,2000009,7.079601990049752,-0.12762340861000002,-1.0
,,,,,,,,10.0,18.1289720951986,1.1828522438524944,0.0,0.0,0.0012487199855968356,2000010,8.08955223880597,-0.17197381926,-1.0
,,,,,,,,11.0,20.13394634617886,1.44887241871467,0.0,-0.11049126088619232,0.0,2000011,9.099502487562189,-0.19926423952,-1.0
,,,,,,,,12.0,22.140172643150468,1.7053566422821083,0.0,-0.1430264264345169,0.0,2000012,10.109452736318408,-0.19034835878,-1.0
,,,,,,,,13.0,24.150282899147676,1.9294414872486003,0.0,-0.0630313828587532,0.0,2000013,11.119402985074627,-0.11749638862,-1.0
,,,,,,,,14.0,26.169465976229,2.0461626785884053,0.0,0.0,0.00829938892275095,2000014,12.129353233830846,0.03453088799999998,-1.0
,,,,,,,,15.0,28.19124924943718,1.9900859018058858,0.0,-0.042965780943632126,0.0,2000015,13.139303482587065,0.25349247900000005,-1.0
,,,,,,,,16.0,30.206282703037523,1.8156370680156093,0.0,-0.1302270144224167,0.0,2000016,14.149253731343284,0.500844492,-1.0
,,,,,,,,17.0,32.21521898632206,1.5812380679397833,0.0,-0.08301417529582977,0.0,2000017,15.159203980099504,0.729084398,-1.0
,,,,,,,,18.0,34.2149771812176,1.2784507909831706,0.0,0.0,0.004598820116370916,2000018,16.16915422885572,0.91526224,-1.0
,,,,,,,,19.0,36.1988005389461,0.8845538127566267,0.0,0.0,0.0006340449908748269,2000019,17.17910447761194,1.07570288,-1.0
,,,,,,,,20.0,38.17110834703223,0.4366047712646902,0.0,-0.048586271703243256,0.0,2000020,18.18905472636816,1.190966,-1.0
,,,,,,,,21.0,40.14204776759473,-0.017252961503157863,0.0,-0.029317708685994148,0.0,2000021,19.199004975124378,1.26970418,-1.0
,,,,,,,,22.0,42.11599931681164,-0.45774802215420224,0.0,0.0,0.0011223427718505263,2000022,20.208955223880597,1.34357938,-1.0
,,,,,,,,23.0,44.09428649414287,-0.878257110087068,0.0,-0.07179045677185059,0.0,2000023,21.218905472636816,1.4410783299999999,-1.0
,,,,,,,,24.0,46.07992552503293,-1.2624719727962794,0.0,-0.1659553050994873,0.0,2000024,22.228855721393035,1.5726834299999999,-1.0
,,,,,,,,25.0,48.074830559588435,-1.5951582769883166,0.0,-0.1874663382768631,0.0,2000025,23.238805970149254,1.72739932,-1.0
,,,,,,,,26.0,50.07874505682595,-1.868297656263184,0.0,-0.12865965068340302,0.0,2000026,24.248756218905474,1.8806351799999999,-1.0
,,,,,,,,27.0,52.09032487717947,-2.0775513723506593,0.0,-0.020276466384530067,0.0,2000027,25.258706467661693,2.00409012,-1.0
,,,,,,,,28.0,54.10769112265848,-2.2205422028855586,0.0,-0.10942227393388748,0.0,2000028,26.26865671641791,2.05995699,-1.0
,,,,,,,,29.0,56.128705169835094,-2.2960293061572665,0.0,-0.35631439089775085,0.0,2000029,27.27860696517413,2.0335498899999997,-1.0
,,,,,,,,30.0,58.15111298204593,-2.303541080542712,0.0,-0.5,0.0,2000030,28.28855721393035,1.93769524,-1.0
,,,,,,,,31.0,60.172637616537905,-2.243273633528802,0.0,-0.5,0.0,2000031,29.29850746268657,1.80407335,-1.0
,,,,,,,,32.0,62.191067986748926,-2.116200507534679,0.0,-0.49822527170181274,0.0,2000032,30.308457711442788,1.6708092099999998,-1.0
,,,,,,,,33.0,64.20438987017562,-1.924448366845251,0.0,-0.20447643101215363,0.0,2000033,31.318407960199007,1.56631232,-1.0
,,,,,,,,34.0,66.21103011480977,-1.6721306946453012,0.0,-0.028770262375473976,0.0,2000034,32.32835820895522,1.4893656599999998,-1.0
,,,,,,,,35.0,68.21034327902487,-1.367071273087462,0.0,-0.054375600069761276,0.0,2000035,33.33830845771144,1.3990859299999998,-1.0
,,,,,,,,36.0,70.20355551037026,-1.0243287967432837,0.0,-0.14631974697113037,0.0,2000036,34.34825870646766,1.2654535699999998,-1.0
,,,,,,,,37.0,72.1953657152228,-0.6734532274780137,0.0,-0.10573577880859375,0.0,2000037,35.35820895522388,1.07892003,-1.0
,,,,,,,,38.0,74.19550581232713,-0.37363808477762583,0.0,0.0,0.005891885608434677,2000038,36.3681592039801,0.84617551,-1.0
,,,,,,,,39.0,76.20809997071831,-0.17352991412945318,0.0,-0.008971426635980606,0.0,2000039,37.37810945273632,0.5877778770000001,-1.0
,,,,,,,,40.0,78.22586723431148,-0.03481600746155521,0.0,-0.15164358913898468,0.0,2000040,38.38805970149254,0.331407769,-1.0
,,,,,,,,41.0,80.24474801455733,0.08670914198452223,0.0,-0.22283124923706055,0.0,2000041,39.398009950248756,0.10074981599999999,-1.0
,,,,,,,,42.0,82.26456585106624,0.19158714602981156,0.0,-0.15059448778629303,0.0,2000042,40.407960199004975,-0.1,-1.0
,,,,,,,,43.0,84.28659784173634,0.23676140859506412,0.0,0.0,0.0035075542982667685,2000043,41.417910447761194,-0.299719222,-1.0
,,,,,,,,44.0,86.30752563516837,0.15577767065375475,0.0,0.0,0.004703388083726168,2000044,42.42786069651741,-0.526680955,-1.0
,,,,,,,,45.0,88.31879538830754,-0.05728825460274459,0.0,-0.13838088512420654,0.0,2000045,43.43781094527363,-0.7807867949999999,-1.0
,,,,,,,,46.0,90.3227440034303,-0.330752552547489,0.0,-0.3169202208518982,0.0,2000046,44.44776119402985,-1.04489725,-1.0
